"","Rk","Player","Season","Pos","G","GS","MP","FG","FGA","FG.","X2P","X2PA","X2P.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Player.additional"
"377",377,"Zach Collins","2021-22","C-F",26,3,139,19,34,0.559,16,29,0.552,3,5,0.6,17,20,0.85,6,20,26,12,2,7,9,13,58,"colliza01"
"378",378,"Markelle Fultz","2021-22","G",17,2,81,25,40,0.625,23,35,0.657,2,5,0.4,6,10,0.6,2,7,9,23,7,1,7,3,58,"fultzma01"
"379",379,"Kevon Looney","2021-22","F-C",55,45,269,25,41,0.61,25,41,0.61,0,0,NA,8,16,0.5,37,43,80,16,6,7,10,35,58,"looneke01"
"380",380,"Wesley Matthews","2021-22","G",51,24,315,21,51,0.412,9,15,0.6,12,36,0.333,4,4,1,6,21,27,12,7,2,2,28,58,"matthwe02"
"381",381,"DeAndre' Bembry","2021-22","F",42,12,273,26,44,0.591,22,38,0.579,4,6,0.667,1,3,0.333,11,33,44,13,8,4,10,30,57,"bembrde01"
"382",382,"Elfrid Payton","2021-22","G",37,2,183,25,61,0.41,23,54,0.426,2,7,0.286,4,10,0.4,3,18,21,39,8,1,13,11,56,"paytoel01"
"383",383,"Tomáš Satoranský","2021-22","G",42,6,266,21,50,0.42,20,39,0.513,1,11,0.091,13,18,0.722,5,26,31,43,12,3,7,21,56,"satorto01"
"384",384,"Lindy Waters III","2021-22","G",22,1,152,21,54,0.389,8,14,0.571,13,40,0.325,1,2,0.5,3,18,21,9,5,1,4,8,56,"waterli01"
"385",385,"Blake Griffin","2021-22","F",32,15,181,20,40,0.5,12,19,0.632,8,21,0.381,7,8,0.875,13,31,44,23,6,6,9,26,55,"griffbl01"
"386",386,"Jake Layman","2021-22","F",32,1,150,21,53,0.396,15,28,0.536,6,25,0.24,7,11,0.636,4,23,27,6,4,4,7,7,55,"laymaja01"
"387",387,"Robin Lopez","2021-22","C",22,6,134,22,45,0.489,21,42,0.5,1,3,0.333,9,15,0.6,21,16,37,14,1,4,11,17,54,"lopezro01"
"388",388,"Rajon Rondo","2021-22","G",34,1,186,20,46,0.435,11,18,0.611,9,28,0.321,4,4,1,4,28,32,37,3,1,17,24,53,"rondora01"
"389",389,"Joe Wieskamp","2021-22","G",25,0,130,18,42,0.429,6,12,0.5,12,30,0.4,4,9,0.444,4,7,11,7,3,2,1,6,52,"wieskjo01"
"390",390,"Keljin Blevins","2021-22","F",28,1,157,18,51,0.353,7,16,0.438,11,35,0.314,4,8,0.5,4,11,15,10,3,1,10,10,51,"blevike01"
"391",391,"Bruno Fernando","2021-22","F",29,0,107,20,35,0.571,19,33,0.576,1,2,0.5,10,15,0.667,12,24,36,4,1,7,12,17,51,"fernabr01"
"392",392,"Killian Tillie","2021-22","F",33,2,187,17,60,0.283,6,23,0.261,11,37,0.297,5,8,0.625,12,13,25,11,12,8,8,24,50,"tilliki02"
"393",393,"Enes Freedom","2021-22","C",24,1,147,19,37,0.514,17,34,0.5,2,3,0.667,9,12,0.75,23,40,63,8,1,5,10,16,49,"kanteen01"
"394",394,"DeAndre Jordan","2021-22","C",29,5,139,23,33,0.697,23,33,0.697,0,0,NA,3,5,0.6,17,38,55,8,3,7,9,12,49,"jordade01"
"395",395,"Josh Okogie","2021-22","G",37,2,163,17,38,0.447,9,17,0.529,8,21,0.381,7,9,0.778,7,14,21,11,6,5,10,18,49,"okogijo01"
"396",396,"Brandon Goodwin","2021-22","G",31,5,161,17,42,0.405,14,31,0.452,3,11,0.273,11,19,0.579,5,21,26,22,9,1,14,17,48,"goodwbr01"
"397",397,"Semi Ojeleye","2021-22","F",25,0,142,15,34,0.441,9,23,0.391,6,11,0.545,12,15,0.8,4,16,20,2,2,2,4,7,48,"ojelese01"
"398",398,"Jay Scrubb","2021-22","G-F",18,0,104,17,40,0.425,11,22,0.5,6,18,0.333,7,10,0.7,1,14,15,8,4,3,4,9,47,"scrubja01"
"399",399,"David Duke Jr.","2021-22","G",19,6,125,16,45,0.356,13,30,0.433,3,15,0.2,11,14,0.786,15,14,29,7,5,1,3,10,46,"dukeda01"
"400",400,"Sam Hauser","2021-22","F",31,0,118,15,38,0.395,1,3,0.333,14,35,0.4,2,2,1,4,19,23,10,1,1,2,6,46,"hausesa01"
"401",401,"Nick Richards","2021-22","F-C",33,1,122,18,27,0.667,18,27,0.667,0,0,NA,10,18,0.556,7,20,27,4,4,13,10,9,46,"richani01"
"402",402,"Keifer Sykes","2021-22","G",26,13,169,18,51,0.353,14,31,0.452,4,20,0.2,6,7,0.857,2,10,12,15,3,1,12,8,46,"sykeske01"
"403",403,"Charles Bassey","2021-22","C",25,0,88,20,32,0.625,20,28,0.714,0,4,0,5,8,0.625,15,18,33,3,4,8,3,17,45,"bassech01"
"404",404,"Elijah Hughes","2021-22","F",32,3,173,17,51,0.333,10,19,0.526,7,32,0.219,4,5,0.8,0,16,16,6,7,2,8,18,45,"hugheel01"
"405",405,"Xavier Moon","2021-22","G",10,0,76,19,28,0.679,15,22,0.682,4,6,0.667,3,5,0.6,0,5,5,15,6,2,3,6,45,"moonxa01"
"406",406,"Justin Champagnie","2021-22","F",27,0,129,18,35,0.514,13,23,0.565,5,12,0.417,3,3,1,19,15,34,3,1,2,2,14,44,"champju01"
"407",407,"Miles McBride","2021-22","G",36,2,177,16,61,0.262,8,25,0.32,8,36,0.222,4,5,0.8,4,17,21,28,7,1,4,20,44,"mcbrimi01"
"408",408,"Jahmi'us Ramsey","2021-22","G",19,0,79,18,40,0.45,14,30,0.467,4,10,0.4,3,6,0.5,3,6,9,4,0,0,4,5,43,"ramseja01"
"409",409,"Kemba Walker","2021-22","G",17,18,127,15,52,0.288,8,24,0.333,7,28,0.25,6,9,0.667,4,14,18,14,4,0,9,8,43,"walkeke02"
"410",410,"Dylan Windler","2021-22","G-F",44,0,180,15,43,0.349,8,13,0.615,7,30,0.233,6,7,0.857,13,25,38,14,7,1,3,18,43,"windldy01"
"411",411,"Alex Len","2021-22","C",23,7,123,18,30,0.6,16,27,0.593,2,3,0.667,4,6,0.667,10,19,29,5,1,7,8,21,42,"lenal01"
"412",412,"Daishen Nix","2021-22","G",22,0,141,16,41,0.39,11,26,0.423,5,15,0.333,5,13,0.385,5,17,22,26,8,0,16,9,42,"nixda01"
"413",413,"Tony Snell","2021-22","G-F",40,5,211,16,48,0.333,7,13,0.538,9,35,0.257,1,1,1,5,20,25,9,4,3,1,18,42,"snellto01"
"414",414,"Khem Birch","2021-22","C-F",28,9,171,17,38,0.447,17,34,0.5,0,4,0,7,9,0.778,22,13,35,15,4,2,2,14,41,"birchkh01"
"415",415,"Andre Iguodala","2021-22","G-F",33,0,217,16,34,0.471,11,16,0.688,5,18,0.278,4,7,0.571,6,26,32,44,7,7,13,16,41,"iguodan01"
"416",416,"Udoka Azubuike","2021-22","C",15,6,66,18,21,0.857,18,21,0.857,0,0,NA,4,6,0.667,6,23,29,0,0,2,2,8,40,"azubuud01"
"417",417,"Dwight Howard","2021-22","C",35,10,163,15,27,0.556,10,20,0.5,5,7,0.714,5,9,0.556,12,35,47,5,6,5,7,27,40,"howardw01"
"418",418,"Jalen Johnson","2021-22","F",23,0,81,17,32,0.531,13,21,0.619,4,11,0.364,2,2,1,1,17,18,0,1,2,8,3,40,"johnsja05"
"419",419,"Markieff Morris","2021-22","F",13,0,86,18,33,0.545,14,22,0.636,4,11,0.364,0,0,NA,5,7,12,6,1,0,4,10,40,"morrima02"
"420",420,"Trevelin Queen","2021-22","G",10,0,46,14,26,0.538,5,6,0.833,9,20,0.45,3,3,1,6,7,13,3,3,1,3,4,40,"queentr01"
"421",421,"Thomas Bryant","2021-22","C",18,6,128,16,31,0.516,13,20,0.65,3,11,0.273,4,5,0.8,7,25,32,4,0,4,5,11,39,"bryanth01"
"422",422,"Lindell Wigginton","2021-22","G",18,0,100,13,32,0.406,10,19,0.526,3,13,0.231,10,20,0.5,1,11,12,13,4,1,7,5,39,"wiggili01"
"423",423,"Skylar Mays","2021-22","G",30,4,108,15,27,0.556,13,20,0.65,2,7,0.286,6,7,0.857,2,6,8,12,3,0,7,7,38,"mayssk01"
"424",424,"Goran Dragić","2021-22","G",24,6,178,15,46,0.326,12,26,0.462,3,20,0.15,4,4,1,8,22,30,21,8,2,12,21,37,"dragigo01"
"425",425,"Trent Forrest","2021-22","G",44,5,193,13,34,0.382,12,24,0.5,1,10,0.1,10,15,0.667,4,19,23,23,5,1,8,14,37,"forretr01"
"426",426,"Wenyen Gabriel","2021-22","F",24,7,125,13,31,0.419,11,21,0.524,2,10,0.2,9,12,0.75,11,18,29,8,1,5,10,20,37,"gabriwe01"
"427",427,"Kent Bazemore","2021-22","G-F",31,11,146,13,40,0.325,4,16,0.25,9,24,0.375,1,1,1,5,20,25,11,9,4,7,22,36,"bazemke01"
"428",428,"Gary Clark","2021-22","F",28,1,128,12,30,0.4,2,9,0.222,10,21,0.476,2,2,1,7,23,30,9,3,3,3,7,36,"clarkga01"
"429",429,"Isaiah Livers","2021-22","F",16,4,123,13,29,0.448,4,6,0.667,9,23,0.391,1,2,0.5,4,9,13,2,4,2,8,13,36,"liveris01"
"430",430,"Leandro Bolmaro","2021-22","F",28,0,108,12,36,0.333,8,22,0.364,4,14,0.286,6,7,0.857,5,17,22,15,2,0,9,9,34,"bolmale01"
"431",431,"Moses Brown","2021-22","C",25,5,78,11,19,0.579,11,19,0.579,0,0,NA,12,18,0.667,8,21,29,1,1,4,7,5,34,"brownmo01"
"432",432,"Greg Monroe","2021-22","C-F",12,0,62,15,21,0.714,15,21,0.714,0,0,NA,4,9,0.444,9,12,21,6,4,2,2,6,34,"monrogr01"
"433",433,"Reggie Perry","2021-22","F-C",10,1,59,15,30,0.5,14,25,0.56,1,5,0.2,3,6,0.5,4,8,12,3,2,4,3,12,34,"perryre01"
"434",434,"Juancho Hernangómez","2021-22","F",37,7,163,10,35,0.286,4,10,0.4,6,25,0.24,7,11,0.636,8,28,36,8,6,2,10,7,33,"hernaju01"
"435",435,"Braxton Key","2021-22","F",10,0,61,14,29,0.483,11,21,0.524,3,8,0.375,2,5,0.4,6,12,18,3,5,3,4,10,33,"keybr01"
"436",436,"JT Thor","2021-22","F",32,0,140,11,26,0.423,8,17,0.471,3,9,0.333,8,13,0.615,5,16,21,5,6,6,6,15,33,"thorjt01"
"437",437,"Louis King","2021-22","F",9,0,57,10,31,0.323,4,16,0.25,6,15,0.4,6,8,0.75,0,9,9,5,1,0,0,5,32,"kinglo02"
"438",438,"Paul Millsap","2021-22","F",20,1,111,12,29,0.414,9,19,0.474,3,10,0.3,4,6,0.667,11,22,33,10,0,2,6,27,31,"millspa01"
"439",439,"Jared Harper","2021-22","G",4,0,29,11,18,0.611,7,10,0.7,4,8,0.5,4,4,1,1,0,1,6,4,1,2,2,30,"harpeja01"
"440",440,"Justin Robinson","2021-22","G",21,0,106,10,28,0.357,4,12,0.333,6,16,0.375,4,6,0.667,2,4,6,9,2,1,6,9,30,"robinju01"
"441",441,"Collin Sexton","2021-22","G",9,9,67,11,36,0.306,7,25,0.28,4,11,0.364,4,4,1,3,2,5,2,1,0,5,8,30,"sextoco01"
"442",442,"Georgios Kalaitzakis","2021-22","G-F",13,4,76,9,21,0.429,2,9,0.222,7,12,0.583,4,9,0.444,2,3,5,2,5,1,4,9,29,"kalaige01"
"443",443,"KZ Okpala","2021-22","F",19,0,82,11,24,0.458,6,13,0.462,5,11,0.455,2,2,1,2,8,10,4,0,4,0,6,29,"okpalkz01"
"444",444,"Brad Wanamaker","2021-22","G",19,2,120,9,29,0.31,8,22,0.364,1,7,0.143,10,11,0.909,0,13,13,11,2,2,10,20,29,"wanambr01"
"445",445,"Devontae Cacok","2021-22","F",13,0,55,12,18,0.667,12,18,0.667,0,0,NA,4,7,0.571,4,16,20,4,4,4,2,8,28,"cacokde01"
"446",446,"Maurice Harkless","2021-22","F-G",34,18,184,11,26,0.423,8,12,0.667,3,14,0.214,3,4,0.75,1,19,20,3,7,5,10,22,28,"harklma01"
"447",447,"Theo Pinson","2021-22","G",18,0,75,8,19,0.421,2,3,0.667,6,16,0.375,6,6,1,2,6,8,7,1,0,5,2,28,"pinsoth01"
"448",448,"Denzel Valentine","2021-22","G",22,0,100,10,29,0.345,2,10,0.2,8,19,0.421,0,0,NA,7,15,22,5,3,0,8,7,28,"valende01"
"449",449,"PJ Dozier","2021-22","G",16,0,87,10,26,0.385,7,15,0.467,3,11,0.273,4,4,1,3,14,17,8,3,1,5,9,27,"doziepj01"
"450",450,"Derrick Favors","2021-22","F-C",25,10,101,13,25,0.52,13,25,0.52,0,0,NA,1,4,0.25,14,14,28,4,4,1,1,9,27,"favorde01"
"451",451,"Usman Garuba","2021-22","F",24,2,132,11,29,0.379,7,14,0.5,4,15,0.267,0,0,NA,11,30,41,7,8,7,4,14,26,"garubus01"
"452",452,"Justin Anderson","2021-22","G",12,6,83,8,20,0.4,4,10,0.4,4,10,0.4,5,7,0.714,3,9,12,8,2,2,3,3,25,"anderju01"
"453",453,"Vlatko Čančar","2021-22","F",12,0,73,7,18,0.389,5,13,0.385,2,5,0.4,9,14,0.643,1,15,16,5,2,1,4,6,25,"cancavl01"
"454",454,"Chris Chiozza","2021-22","G",31,1,151,9,26,0.346,2,8,0.25,7,18,0.389,0,0,NA,4,14,18,24,4,0,14,14,25,"chiozch01"
"455",455,"Jaylen Hoard","2021-22","F",7,5,66,11,21,0.524,9,14,0.643,2,7,0.286,1,4,0.25,7,17,24,2,0,2,2,5,25,"hoardja01"
"456",456,"Luke Kornet","2021-22","F",25,0,93,12,25,0.48,11,20,0.55,1,5,0.2,0,0,NA,9,16,25,7,4,2,1,8,25,"kornelu01"
"457",457,"Sam Merrill","2021-22","G",6,0,50,8,22,0.364,1,1,1,7,21,0.333,2,4,0.5,1,6,7,4,0,0,2,3,25,"merrisa01"
"458",458,"Devon Dotson","2021-22","G",11,0,56,9,18,0.5,8,11,0.727,1,7,0.143,5,9,0.556,0,8,8,12,0,0,5,8,24,"dotsode01"
"459",459,"Kris Dunn","2021-22","G",14,3,80,10,22,0.455,10,18,0.556,0,4,0,4,4,1,1,6,7,10,6,0,8,7,24,"dunnkr01"
"460",460,"Mychal Mulder","2021-22","G-F",16,3,97,9,32,0.281,3,11,0.273,6,21,0.286,0,0,NA,1,11,12,2,4,1,3,4,24,"muldemy01"
"461",461,"Tyler Cook","2021-22","F",14,2,64,8,17,0.471,8,17,0.471,0,0,NA,7,10,0.7,5,11,16,3,0,0,4,9,23,"cookty01"
"462",462,"Malik Fitts","2021-22","F",24,0,62,9,17,0.529,4,8,0.5,5,9,0.556,0,0,NA,2,13,15,5,0,0,0,4,23,"fittsma01"
"463",463,"Taj Gibson","2021-22","F",42,2,244,9,27,0.333,8,18,0.444,1,9,0.111,4,4,1,15,34,49,7,7,13,6,43,23,"gibsota01"
"464",464,"Nik Stauskas","2021-22","G",21,0,48,6,21,0.286,1,3,0.333,5,18,0.278,6,8,0.75,1,5,6,5,0,0,1,1,23,"stausni01"
"465",465,"Trevor Ariza","2021-22","F",13,3,84,8,17,0.471,4,7,0.571,4,10,0.4,2,5,0.4,3,17,20,6,1,1,1,4,22,"arizatr01"
"466",466,"James Ennis III","2021-22","F",7,0,33,8,17,0.471,6,11,0.545,2,6,0.333,4,5,0.8,4,3,7,3,0,2,2,3,22,"ennisja01"
"467",467,"Joe Harris","2021-22","G",11,11,81,9,24,0.375,5,12,0.417,4,12,0.333,0,0,NA,0,2,2,2,3,1,3,8,22,"harrijo01"
"468",468,"Kai Jones","2021-22","F-C",21,0,63,9,14,0.643,8,12,0.667,1,2,0.5,3,8,0.375,4,8,12,4,1,2,6,8,22,"joneska01"
"469",469,"Malcolm Hill","2021-22","F",15,0,64,7,15,0.467,5,6,0.833,2,9,0.222,5,5,1,1,7,8,3,1,1,1,11,21,"hillma01"
"470",470,"Alize Johnson","2021-22","F",15,0,71,8,19,0.421,8,19,0.421,0,0,NA,5,8,0.625,15,11,26,7,3,0,4,9,21,"johnsal02"
"471",471,"Alfonzo McKinnie","2021-22","F",13,1,63,8,21,0.381,4,11,0.364,4,10,0.4,1,2,0.5,3,6,9,2,1,1,3,7,21,"mckinal01"
"472",472,"Kevin Pangos","2021-22","G",22,3,74,7,23,0.304,3,9,0.333,4,14,0.286,3,4,0.75,1,3,4,12,2,0,4,7,21,"pangoke01"
"473",473,"Isaiah Todd","2021-22","F",10,0,37,7,18,0.389,3,8,0.375,4,10,0.4,2,4,0.5,2,3,5,0,3,2,3,1,20,"toddis01"
"474",474,"Frank Kaminsky","2021-22","F-C",8,0,54,9,17,0.529,9,14,0.643,0,3,0,1,2,0.5,3,7,10,6,2,2,2,3,19,"kaminfr01"
