"","Rk","Player","Season","Pos","G","GS","MP","FG","FGA","FG.","X2P","X2PA","X2P.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Player.additional"
"475",475,"Kira Lewis Jr.","2021-22","G",17,0,81,8,32,0.25,6,19,0.316,2,13,0.154,1,2,0.5,2,7,9,14,1,1,7,4,19,"lewiski01"
"476",476,"Jericho Sims","2021-22","F",37,5,159,9,16,0.563,9,16,0.563,0,0,NA,1,4,0.25,12,33,45,6,2,3,6,14,19,"simsje01"
"477",477,"Brodric Thomas","2021-22","G",11,0,45,7,15,0.467,5,8,0.625,2,7,0.286,3,5,0.6,2,5,7,8,1,1,5,7,19,"thomabr01"
"478",478,"Melvin Frazier","2021-22","G",3,0,36,8,17,0.471,8,11,0.727,0,6,0,2,2,1,3,3,6,0,0,0,0,3,18,"frazime01"
"479",479,"D.J. Wilson","2021-22","F",4,1,23,5,7,0.714,5,7,0.714,0,0,NA,8,10,0.8,0,8,8,1,0,1,0,3,18,"wilsodj01"
"480",480,"Cody Zeller","2021-22","C-F",12,0,58,7,12,0.583,7,10,0.7,0,2,0,4,6,0.667,8,14,22,3,0,5,6,11,18,"zelleco01"
"481",481,"Devin Cannady","2021-22","G",5,0,57,5,12,0.417,0,1,0,5,11,0.455,2,4,0.5,0,1,1,5,0,1,2,3,17,"cannade01"
"482",482,"Mason Jones","2021-22","G",4,0,25,4,12,0.333,3,8,0.375,1,4,0.25,8,9,0.889,1,6,7,1,1,0,1,4,17,"jonesma05"
"483",483,"Nerlens Noel","2021-22","C-F",21,7,128,8,13,0.615,8,13,0.615,0,0,NA,1,1,1,12,27,39,5,9,5,5,14,17,"noelne01"
"484",484,"Marko Simonovic","2021-22","C",9,0,35,4,15,0.267,3,10,0.3,1,5,0.2,8,11,0.727,5,5,10,0,1,1,2,6,17,"simonma01"
"485",485,"Cassius Stanley","2021-22","G",8,2,50,4,18,0.222,3,10,0.3,1,8,0.125,8,8,1,5,2,7,1,3,1,4,3,17,"stanlca01"
"486",486,"Tim Frazier","2021-22","G",11,4,64,6,15,0.4,4,12,0.333,2,3,0.667,1,2,0.5,0,6,6,9,0,0,6,6,15,"fraziti01"
"487",487,"Kyle Guy","2021-22","G",18,0,64,4,22,0.182,1,8,0.125,3,14,0.214,4,7,0.571,3,5,8,5,4,0,7,5,15,"guyky01"
"488",488,"Ryan Arcidiacono","2021-22","G",10,0,50,5,8,0.625,1,2,0.5,4,6,0.667,0,0,NA,0,5,5,3,1,0,2,4,14,"arcidry01"
"489",489,"Petr Cornelie","2021-22","F",13,0,38,5,15,0.333,4,7,0.571,1,8,0.125,3,4,0.75,7,7,14,3,1,1,4,7,14,"cornepe01"
"490",490,"Sekou Doumbouya","2021-22","F",2,0,16,5,8,0.625,4,6,0.667,1,2,0.5,3,4,0.75,2,4,6,0,3,2,2,1,14,"doumbse01"
"491",491,"Cameron McGriff","2021-22","F",3,0,31,5,11,0.455,3,7,0.429,2,4,0.5,2,2,1,5,7,12,2,0,1,0,6,14,"mcgrica01"
"492",492,"Jabari Parker","2021-22","F",8,0,38,5,13,0.385,4,9,0.444,1,4,0.25,3,3,1,3,6,9,0,1,0,2,5,14,"parkeja01"
"493",493,"Neemias Queta","2021-22","C",11,0,46,6,15,0.4,6,15,0.4,0,0,NA,2,5,0.4,10,4,14,4,0,4,3,7,14,"quetane01"
"494",494,"Bol Bol","2021-22","F-C",12,0,56,6,15,0.4,6,14,0.429,0,1,0,1,2,0.5,3,13,16,5,1,1,1,3,13,"bolbo01"
"495",495,"Yves Pons","2021-22","F",11,0,51,5,13,0.385,2,6,0.333,3,7,0.429,0,0,NA,5,4,9,1,1,3,1,3,13,"ponsyv01"
"496",496,"Michael Porter Jr.","2021-22","F",7,7,59,4,20,0.2,0,8,0,4,12,0.333,1,2,0.5,0,9,9,3,1,0,1,2,13,"portemi01"
"497",497,"Charlie Brown Jr.","2021-22","G",17,2,60,3,12,0.25,2,7,0.286,1,5,0.2,5,6,0.833,3,8,11,2,2,2,3,6,12,"brownch02"
"498",498,"RJ Nembhard Jr.","2021-22","G",13,0,45,5,15,0.333,5,14,0.357,0,1,0,2,2,1,3,4,7,9,1,0,3,1,12,"nembhrj01"
"499",499,"Cameron Oliver","2021-22","F",2,0,21,6,9,0.667,6,8,0.75,0,1,0,0,0,NA,2,1,3,2,0,0,0,3,12,"oliveca01"
"500",500,"Javonte Smart","2021-22","G",15,1,66,5,22,0.227,3,14,0.214,2,8,0.25,0,0,NA,0,6,6,6,3,1,2,5,12,"smartja01"
"501",501,"Paul Watson","2021-22","G",7,2,43,4,7,0.571,1,1,1,3,6,0.5,1,2,0.5,0,8,8,2,1,0,0,4,12,"watsopa01"
"502",502,"Cassius Winston","2021-22","G",6,0,28,3,9,0.333,1,4,0.25,2,5,0.4,4,4,1,0,1,1,4,0,0,3,4,12,"winstca01"
"503",503,"Chaundee Brown Jr.","2021-22","G-F",3,1,20,3,7,0.429,0,2,0,3,5,0.6,2,2,1,0,3,3,2,0,0,0,1,11,"brownch05"
"504",504,"Gabriel Deck","2021-22","F",5,0,23,4,5,0.8,3,3,1,1,2,0.5,2,2,1,1,0,1,2,1,0,2,1,11,"deckga01"
"505",505,"Udonis Haslem","2021-22","F-C",10,0,37,5,15,0.333,4,12,0.333,1,3,0.333,0,0,NA,2,10,12,2,0,0,2,3,11,"hasleud01"
"506",506,"Haywood Highsmith","2021-22","F",25,1,95,3,18,0.167,0,6,0,3,12,0.25,2,4,0.5,6,11,17,8,1,1,5,9,11,"highsha01"
"507",507,"Jamorko Pickett","2021-22","G-F",12,0,64,4,15,0.267,1,4,0.25,3,11,0.273,0,0,NA,0,6,6,3,0,0,2,3,11,"pickeja01"
"508",508,"Myles Powell","2021-22","G",8,0,22,4,11,0.364,3,8,0.375,1,3,0.333,2,2,1,1,2,3,1,0,0,0,2,11,"powelmy01"
"509",509,"B.J. Johnson","2021-22","G",3,0,14,4,5,0.8,2,3,0.667,2,2,1,0,0,NA,0,0,0,0,0,0,0,1,10,"johnsbj01"
"510",510,"Rayjon Tucker","2021-22","F",12,0,43,3,5,0.6,2,3,0.667,1,2,0.5,3,4,0.75,2,2,4,6,3,0,0,4,10,"tuckera01"
"511",511,"Jeff Dowtin","2021-22","G",9,0,57,3,12,0.25,2,6,0.333,1,6,0.167,2,2,1,2,5,7,5,2,1,5,3,9,"dowtije01"
"512",512,"Abdel Nader","2021-22","F",12,0,52,2,9,0.222,2,5,0.4,0,4,0,5,8,0.625,1,5,6,4,4,1,5,5,9,"naderab01"
"513",513,"Isaac Bonga","2021-22","G",11,0,29,2,6,0.333,2,4,0.5,0,2,0,4,6,0.667,4,2,6,3,4,0,1,4,8,"bongais01"
"514",514,"Hassani Gravett","2021-22","G",7,2,47,3,6,0.5,1,3,0.333,2,3,0.667,0,0,NA,1,2,3,4,1,0,4,4,8,"graveha01"
"515",515,"Wes Iwundu","2021-22","F",3,1,28,3,7,0.429,2,6,0.333,1,1,1,1,2,0.5,1,3,4,0,1,0,0,4,8,"iwundwe01"
"516",516,"Brandon Knight","2021-22","G",3,0,21,2,5,0.4,0,0,NA,2,5,0.4,2,2,1,0,1,1,4,0,0,2,2,8,"knighbr03"
"517",517,"Mac McClung","2021-22","G",2,0,13,3,3,1,2,2,1,1,1,1,1,1,1,0,3,3,1,0,0,3,2,8,"mccluma01"
"518",518,"Malik Newman","2021-22","G",1,0,8,3,5,0.6,3,4,0.75,0,1,0,2,2,1,0,1,1,1,0,0,1,0,8,"newmama01"
"519",519,"Daniel Oturu","2021-22","F-C",2,0,11,3,5,0.6,3,4,0.75,0,1,0,2,3,0.667,1,1,2,0,0,0,0,0,8,"oturuda01"
"520",520,"Zavier Simpson","2021-22","G",4,4,47,3,13,0.231,3,11,0.273,0,2,0,2,2,1,0,5,5,7,2,1,4,4,8,"simpsza01"
"521",521,"Jaden Springer","2021-22","G",7,0,19,4,7,0.571,4,6,0.667,0,1,0,0,0,NA,1,5,6,2,0,2,1,1,8,"sprinja01"
"522",522,"Sharife Cooper","2021-22","G",13,0,29,3,10,0.3,2,6,0.333,1,4,0.25,0,0,NA,0,3,3,4,0,0,5,1,7,"coopesh01"
"523",523,"Tacko Fall","2021-22","C",10,1,29,3,7,0.429,3,7,0.429,0,0,NA,1,3,0.333,1,7,8,1,0,4,1,2,7,"fallta01"
"524",524,"Justin Jackson","2021-22","G-F",6,0,21,2,10,0.2,1,5,0.2,1,5,0.2,2,2,1,0,1,1,2,0,0,0,1,7,"jacksju01"
"525",525,"Eugene Omoruyi","2021-22","F",4,0,18,2,5,0.4,1,3,0.333,1,2,0.5,2,4,0.5,2,5,7,2,0,0,0,2,7,"omorueu01"
"526",526,"Chris Silva","2021-22","F",7,0,31,1,6,0.167,1,6,0.167,0,0,NA,5,5,1,4,7,11,4,0,1,5,8,7,"silvach01"
"527",527,"Tyrone Wallace","2021-22","G",6,0,35,2,9,0.222,0,4,0,2,5,0.4,1,2,0.5,0,5,5,0,0,1,0,2,7,"wallaty01"
"528",528,"Robert Woodard II","2021-22","F",12,0,42,2,16,0.125,1,12,0.083,1,4,0.25,2,2,1,5,6,11,3,1,1,1,3,7,"woodaro01"
"529",529,"Paris Bass","2021-22","F",2,0,7,2,6,0.333,2,4,0.5,0,2,0,2,2,1,2,2,4,0,1,0,2,2,6,"basspa01"
"530",530,"Mamadi Diakite","2021-22","F",9,2,42,2,9,0.222,2,9,0.222,0,0,NA,2,2,1,3,9,12,0,1,2,3,9,6,"diakima01"
"531",531,"Marcus Garrett","2021-22","G",12,0,52,2,9,0.222,1,6,0.167,1,3,0.333,1,4,0.25,3,3,6,7,3,1,1,9,6,"garrema01"
"532",532,"Gabriel Lundberg","2021-22","G",3,0,25,2,9,0.222,0,5,0,2,4,0.5,0,0,NA,1,2,3,6,2,0,2,7,6,"lundbga01"
"533",533,"Dakota Mathias","2021-22","G",5,0,16,2,6,0.333,0,0,NA,2,6,0.333,0,0,NA,0,2,2,1,1,0,0,1,6,"mathida01"
"534",534,"Tre Scott","2021-22","F",2,0,11,3,6,0.5,3,5,0.6,0,1,0,0,0,NA,1,1,2,0,1,1,0,2,6,"scotttr01"
"535",535,"Quinndary Weatherspoon","2021-22","G",11,0,36,3,10,0.3,3,6,0.5,0,4,0,0,0,NA,1,6,7,2,0,0,0,7,6,"weathqu01"
"536",536,"Carsen Edwards","2021-22","G",4,0,34,2,11,0.182,2,5,0.4,0,6,0,1,1,1,0,1,1,5,1,0,2,1,5,"edwarca01"
"537",537,"Miye Oni","2021-22","G",15,0,40,2,9,0.222,1,1,1,1,8,0.125,0,1,0,1,6,7,5,0,0,1,7,5,"onimi01"
"538",538,"Jordan Schakel","2021-22","F",3,0,25,1,11,0.091,0,5,0,1,6,0.167,2,2,1,1,6,7,0,1,0,1,0,5,"schakjo01"
"539",539,"Xavier Sneed","2021-22","F",9,0,34,2,9,0.222,1,2,0.5,1,7,0.143,0,0,NA,2,3,5,1,0,0,0,0,5,"sneedxa01"
"540",540,"Luca Vildoza","2021-22","G",7,0,17,2,6,0.333,1,1,1,1,5,0.2,0,0,NA,1,1,2,4,2,0,0,2,5,"vildolu01"
"541",541,"Derrick Walton","2021-22","G",3,4,28,1,9,0.111,0,3,0,1,6,0.167,2,2,1,0,3,3,6,3,0,4,1,5,"waltode01"
"542",542,"McKinley Wright IV","2021-22","G",5,0,19,2,3,0.667,1,1,1,1,2,0.5,0,0,NA,0,0,0,3,0,0,1,1,5,"wrighmc01"
"543",543,"Moses Wright","2021-22","F",4,0,15,1,4,0.25,1,3,0.333,0,1,0,3,3,1,1,2,3,2,0,1,0,0,5,"wrighmo01"
"544",544,"Vernon Carey Jr.","2021-22","C",6,0,14,1,2,0.5,1,2,0.5,0,0,NA,2,5,0.4,1,3,4,0,0,0,0,0,4,"careyve01"
"545",545,"Willie Cauley-Stein","2021-22","F-C",8,1,25,2,4,0.5,2,4,0.5,0,0,NA,0,0,NA,1,7,8,2,0,0,0,3,4,"caulewi01"
"546",546,"Ed Davis","2021-22","F",25,3,77,2,3,0.667,2,3,0.667,0,0,NA,0,2,0,2,17,19,2,2,5,3,13,4,"davised01"
"547",547,"Damyean Dotson","2021-22","G",1,0,9,2,4,0.5,2,3,0.667,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,4,"dotsoda01"
"548",548,"Freddie Gillespie","2021-22","F",6,0,24,2,5,0.4,2,5,0.4,0,0,NA,0,0,NA,2,4,6,2,1,1,0,3,4,"gillefr01"
"549",549,"Chandler Hutchison","2021-22","G",6,0,16,1,2,0.5,1,2,0.5,0,0,NA,2,2,1,0,5,5,1,0,0,3,1,4,"hutchch01"
"550",550,"Carlik Jones","2021-22","G",4,0,11,1,5,0.2,1,4,0.25,0,1,0,2,2,1,0,0,0,1,0,0,1,0,4,"jonesca03"
"551",551,"Wayne Selden","2021-22","G-F",3,0,5,1,1,1,0,0,NA,1,1,1,1,2,0.5,0,0,0,0,0,0,0,0,4,"seldewa01"
"552",552,"Gabe York","2021-22","G",2,0,8,1,2,0.5,0,0,NA,1,2,0.5,1,2,0.5,0,0,0,1,1,0,0,2,4,"yorkga01"
"553",553,"Tyler Johnson","2021-22","G",5,0,22,1,5,0.2,0,3,0,1,2,0.5,0,0,NA,0,4,4,2,0,1,1,2,3,"johnsty01"
"554",554,"Emmanuel Mudiay","2021-22","G",2,0,4,0,0,NA,0,0,NA,0,0,NA,3,4,0.75,0,0,0,2,1,0,1,0,3,"mudiaem01"
"555",555,"Matt Ryan","2021-22","F",1,0,5,1,5,0.2,0,0,NA,1,5,0.2,0,0,NA,0,0,0,0,1,0,0,0,3,"ryanma01"
"556",556,"Deividas Sirvydis","2021-22","G-F",2,0,10,1,6,0.167,0,1,0,1,5,0.2,0,0,NA,0,3,3,0,0,1,0,2,3,"sirvyde01"
"557",557,"Tremont Waters","2021-22","G",2,0,13,1,3,0.333,0,2,0,1,1,1,0,0,NA,0,1,1,2,1,0,2,0,3,"watertr01"
"558",558,"Joel Ayayi","2021-22","G",7,0,20,1,6,0.167,1,5,0.2,0,1,0,0,0,NA,1,2,3,4,0,0,0,0,2,"ayayijo01"
"559",559,"Ahmad Caver","2021-22","G",1,0,1,1,1,1,1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,"caverah01"
"560",560,"Darren Collison","2021-22","G",1,0,3,1,1,1,1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,2,"collida01"
"561",561,"Jarron Cumberland","2021-22","G",3,0,12,1,2,0.5,1,1,1,0,1,0,0,0,NA,1,2,3,1,0,0,0,2,2,"cumbeja01"
"562",562,"Aleem Ford","2021-22","F",3,0,16,1,3,0.333,1,1,1,0,2,0,0,0,NA,0,2,2,1,0,0,1,2,2,"fordal03"
"563",563,"Aaron Henry","2021-22","F",5,0,12,1,4,0.25,1,3,0.333,0,1,0,0,0,NA,0,0,0,0,0,2,2,1,2,"henryaa01"
"564",564,"DaQuan Jeffries","2021-22","G-F",3,0,9,1,2,0.5,1,1,1,0,1,0,0,0,NA,0,2,2,1,0,0,0,1,2,"jeffrda01"
"565",565,"Joe Johnson","2021-22","G-F",1,0,2,1,1,1,1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,2,"johnsjo02"
"566",566,"Jemerrio Jones","2021-22","F",2,0,8,1,1,1,1,1,1,0,0,NA,0,0,NA,2,1,3,0,0,0,0,1,2,"jonesje01"
"567",567,"Jaylen Morris","2021-22","G",3,0,16,0,6,0,0,4,0,0,2,0,2,4,0.5,0,2,2,2,0,0,1,1,2,"morrija01"
"568",568,"Norvel Pelle","2021-22","F-C",2,0,3,1,2,0.5,1,2,0.5,0,0,NA,0,0,NA,1,1,2,0,0,0,0,0,2,"pelleno01"
"569",569,"Tyrell Terry","2021-22","G",1,0,3,1,1,1,1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,2,"terryty01"
"570",570,"Cheick Diallo","2021-22","F",2,0,4,0,0,NA,0,0,NA,0,0,NA,1,2,0.5,0,1,1,0,0,0,1,2,1,"diallch01"
"571",571,"Scottie Lewis","2021-22","G",2,0,7,0,0,NA,0,0,NA,0,0,NA,1,2,0.5,0,0,0,1,1,0,0,0,1,"lewissc01"
"572",572,"Juwan Morgan","2021-22","F",11,0,30,0,2,0,0,0,NA,0,2,0,1,2,0.5,2,3,5,0,0,0,0,3,1,"morgaju01"
"573",573,"Cat Barber","2021-22","G",1,0,7,0,2,0,0,2,0,0,0,NA,0,4,0,1,1,2,1,0,0,0,1,0,"barbeca01"
"574",574,"Shaq Buchanan","2021-22","G",1,0,3,0,1,0,0,0,NA,0,1,0,0,0,NA,0,0,0,1,0,0,1,1,0,"buchash01"
"575",575,"Zylan Cheatham","2021-22","F",1,0,2,0,1,0,0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"cheatzy01"
"576",576,"Sam Dekker","2021-22","F",1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"dekkesa01"
"577",577,"Javin DeLaurier","2021-22","F",1,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,1,0,1,0,0,1,0,"delauja01"
"578",578,"Jaime Echenique","2021-22","C",1,0,3,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"echenja01"
"579",579,"Rob Edwards","2021-22","G",1,0,2,0,1,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,"edwarro01"
"580",580,"Langston Galloway","2021-22","G",4,0,18,0,3,0,0,1,0,0,2,0,0,0,NA,0,2,2,1,0,0,1,0,0,"gallola01"
"581",581,"Jordan Goodwin","2021-22","G",1,0,3,0,1,0,0,0,NA,0,1,0,0,0,NA,0,1,1,0,0,0,0,1,0,"goodwjo01"
"582",582,"Tyler Hall","2021-22","G",1,0,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"hallty01"
"583",583,"Shaquille Harrison","2021-22","G",1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"harrish01"
"584",584,"Solomon Hill","2021-22","F",9,1,31,0,6,0,0,1,0,0,5,0,0,0,NA,2,3,5,4,1,0,1,3,0,"hillso01"
"585",585,"Nate Hinton","2021-22","G",1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"hintona01"
"586",586,"Scotty Hopson","2021-22","G",1,0,6,0,1,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,"hopsosc01"
"587",587,"Jay Huff","2021-22","F-C",4,0,20,0,3,0,0,1,0,0,2,0,0,0,NA,1,3,4,1,1,1,1,1,0,"huffja01"
"588",588,"Feron Hunt","2021-22","F",1,0,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,1,0,0,1,0,"huntfe01"
"589",589,"DeJon Jarreau","2021-22","G",1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"jarrede01"
"590",590,"David Johnson","2021-22","G",2,0,2,0,1,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,"johnsda08"
"591",591,"George King","2021-22","G-F",2,0,6,0,1,0,0,0,NA,0,1,0,0,0,NA,0,1,1,0,0,0,0,3,0,"kingge03"
"592",592,"Arnoldas Kulboka","2021-22","F",1,0,3,0,1,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,"kulboar01"
"593",593,"Anthony Lamb","2021-22","F",2,0,8,0,2,0,0,0,NA,0,2,0,0,0,NA,0,1,1,2,0,0,0,0,0,"lamban01"
"594",594,"Didi Louzada","2021-22","G",6,1,29,0,7,0,0,1,0,0,6,0,0,0,NA,3,3,6,1,1,1,1,1,0,"louzama01"
"595",595,"JaQuori McLaughlin","2021-22","G",2,0,5,0,1,0,0,1,0,0,0,NA,0,0,NA,0,0,0,2,0,0,0,0,0,"mclauja01"
"596",596,"C.J. Miles","2021-22","G-F",1,0,2,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,1,0,"milescj01"
"597",597,"Matt Mooney","2021-22","G",1,0,2,0,1,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,1,0,1,0,0,"moonema01"
"598",598,"Ade Murkey","2021-22","G",1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,"murkead01"
"599",599,"Micah Potter","2021-22","C",2,0,6,0,2,0,0,1,0,0,1,0,0,0,NA,1,0,1,0,1,0,1,1,0,"pottemi01"
"600",600,"Craig Sword","2021-22","G",2,0,6,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,1,1,0,1,1,0,"swordcr01"
"601",601,"Emanuel Terry","2021-22","F",3,0,8,0,4,0,0,4,0,0,0,NA,0,0,NA,5,4,9,2,0,0,2,3,0,"terryem01"
"602",602,"Jon Teske","2021-22","C",3,0,8,0,1,0,0,1,0,0,0,NA,0,0,NA,0,2,2,1,1,0,0,0,0,"teskejo01"
"603",603,"M.J. Walker","2021-22","G",2,0,8,0,4,0,0,2,0,0,2,0,0,0,NA,0,1,1,1,3,0,0,1,0,"walkemj01"
